id,studios,director
39486,Bandai Namco Pictures,Fujita Youichi
42938,TMS Entertainment,Ibata Yoshihide
28977,Bandai Namco Pictures,Fujita Youichi
38524,Wit Studio,Yabuta Shuuhei
5114,Bones,Cook Justin
35247,Shaft,Shinbou Akiyuki
15417,Sunrise,Fujita Youichi
11061,Madhouse,Maruyama Masao
9253,White Fox,Iwasa Gaku
9969,Sunrise,Fujita Youichi
35180,Shaft,Shinbou Akiyuki
820,K-Factory,Ishiguro Noboru
32935,Production I.G,Morihiro Fumi
37987,Kyoto Animation,Karasawa Miho
15335,Sunrise,Fujita Youichi
28851,Kyoto Animation,Senami Riri
37510,Bones,Minami Masahiko
40028,MAPPA,Hayashi Yuuichirou
34096,Bandai Namco Pictures,Fujita Youichi
17074,Shaft,Iwakami Atsuhiro
37491,Bandai Namco Pictures,Fujita Youichi
40417,TMS Entertainment,Ibata Yoshihide
2921,Tokyo Movie Shinsha,Dezaki Osamu
40748,MAPPA,Seshita Keisuke
33095,Studio Deen,Omata Shinichi
44074,Studio LAN,Li Haoling
37521,Wit Studio,Ueda Youko
40434,B.CMAY PICTURES,Mo Xiang Tong Xiu
28891,Production I.G,Morihiro Fumi
19,Madhouse,Maruyama Masao
4181,Kyoto Animation,Hatta Youko
7311,Kyoto Animation,Hatta Hideaki
199,Studio Ghibli,Suzuki Toshio
46102,OLM,Kinoshita Baku
48661,David Production,Suzuki Kenichi
263,Madhouse,Nishimura Satoshi
32281,CoMix Wave Films,Kawamura Genki
21,Toei Animation,Cook Justin
40456,ufotable,Sotozaki Haruo
40591,A-1 Pictures,Omata Shinichi
36838,Bandai Namco Pictures,Fujita Youichi
40776,Production I.G,Morihiro Fumi
35760,Wit Studio,Wada Jouji
33050,ufotable,Aimer
24701,Artland,Nagahama Hiroshi
36862,Kinema Citrus,Kojima Masayuki
21939,Artland,Nagahama Hiroshi
37991,David Production,Tsuda Naokatsu
431,Studio Ghibli,Suzuki Toshio
3297,Hal Film Maker,Satou Junichi
164,Studio Ghibli,Suzuki Toshio
38000,ufotable,Kondou Hikaru
44,Studio Deen,Campbell Charles
44070,Haoliners Animation League,Mo Xiang Tong Xiu
16498,Wit Studio,Wada Jouji
37779,CloverWorks,Fukushima Yuuichi
40834,Wit Studio,Okada Maiko
7785,Madhouse,Yuasa Masaaki
5258,Madhouse,Shishido Jun
38329,CloverWorks,Masui Souichi
42203,White Fox,nonoc
918,Sunrise,Takamatsu Shinji
22135,Tatsunoko Production,Yuasa Masaaki
11741,ufotable,Iwakami Atsuhiro
36649,MAPPA,Utsumi Hiroko
34591,Shuka,Oomori Takahiro
11665,Brain's Base,Oomori Takahiro
457,Artland,Cook Justin
33352,Kyoto Animation,Ishidate Taichi
25777,Wit Studio,Yabuta Shuuhei
4282,ufotable,Iwakami Atsuhiro
10379,Brain's Base,Oomori Takahiro
40730,Haoliners Animation League,Amamiya Sora
32983,Shuka,Oomori Takahiro
1535,Madhouse,Maruyama Masao
877,Madhouse,Maruyama Masao
801,Production I.G,Maseba Yutaka
36999,Shaft,Shinbou Akiyuki
38474,C-Station,Kyougoku Yoshiaki
32182,Bones,Tachikawa Yuzuru
31933,David Production,Tsuda Naokatsu
19647,Madhouse,Shishido Jun
35839,Madhouse,Ishizuka Atsuko
12365,J.C.Staff,Kasai Kenichi
37379,Madhouse,Asaka Morio
39551,8bit,STEREO DIVE FOUNDATION
30654,Lerche,Kishi Seiji
40787,Bones,Tamura Koutarou
36098,Studio VOLN,Ushijima Shinichirou
28957,Artland,Nagahama Hiroshi
39533,Lerche,Higa Yuuji
28735,Studio Deen,Omata Shinichi
20583,Production I.G,Morihiro Fumi
38883,Production I.G,Morihiro Fumi
34612,J.C.Staff,Sakurai Hiroaki
47778,ufotable,Sotozaki Haruo
12355,Studio Chizu,Saitou Yuuichirou
31181,Shaft,Shinbou Akiyuki
23273,A-1 Pictures,Saitou Shunsuke
33255,J.C.Staff,Sakurai Hiroaki
42249,LIDENFILMS,Hatsumi Kouichi
12431,A-1 Pictures,Watanabe Ayumu
30484,White Fox,Kawamura Kenichi
41487,8bit,Terashima Takuma
45556,,
37965,Production I.G,Morihiro Fumi
37999,A-1 Pictures,Omata Shinichi
38450,B.CMAY PICTURES,Xiong Ke
9617,Kyoto Animation,Yamada Naoko
31646,Shaft,Shinbou Akiyuki
39587,White Fox,Watanabe Masaharu
39547,feel.,Oikawa Kei
40059,Geno Studio,Nanba Hitoshi
21329,Artland,Nagahama Hiroshi
11981,Shaft,Iwakami Atsuhiro
30709,TMS Entertainment,Daichi Akitarou
14397,Madhouse,Asaka Morio
49053,Lerche,Oohashi Akiyo
7472,Sunrise,Azuma Fukashi
39741,Kyoto Animation,Ishidate Taichi
35557,Orange,Kyougoku Takahiko
36885,CloverWorks,Kamei Kanta
33255,J.C.Staff,Sakurai Hiroaki
48569,A-1 Pictures,amazarashi
49926,ufotable,LiSA
38680,TMS Entertainment,Ibata Yoshihide
25781,Wit Studio,Nakatake Tetsuya
30276,Madhouse,Hosoya Nobuyuki
44087,Bandai Namco Pictures,Takeuchi Shinji
38889,Platinum Vision,Mizuno Ryouma
5300,Brain's Base,Miyake Masanori
